condition,model,adapter_path,exact_match_accuracy,accuracy_ci_lower,accuracy_ci_upper,valid_format_rate,correct_and_valid_rate,mean_inference_seconds,median_inference_seconds,p95_inference_seconds,completion_tokens_per_second,peak_cuda_memory_gb,model_parameter_count,adapter_storage_gb,absolute_improvement_over_before,relative_improvement_over_before,gap_to_teacher_accuracy
teacher,Qwen/Qwen3-14B-AWQ,,0.9226686884003032,0.909021986353298,0.9370735405610311,0.9840788476118272,0.913570887035633,2.2723965252586518,2.034396725706756,3.7277880149427784,71.49889643603608,,,,,,
before_sft,google/gemma-3-1b-it,,0.5140257771038665,0.4852160727824109,0.5413191811978771,0.019711902956785442,0.009855951478392721,6.765318122063287,5.521917975973338,21.470270234160125,36.204252094400054,1.8905949592590332,999885952,,,,
after_sft,google/gemma-3-1b-it,/content/drive/MyDrive/Colab Notebooks/Training_Data_Gemma/gemma3_1b_qlora_v1/final_best_adapter,0.41015921152388174,0.3821076573161486,0.43745261561789234,0.9734647460197119,0.41015921152388174,17.09084766667095,14.895837185000346,30.923187088499773,12.256270558130232,1.9509100914001465,1012931712,0.0851878859102726,-0.1038665655799848,-0.20206489675516218,0.5125094768764216
