condition,model,adapter_path,exact_match_accuracy,accuracy_ci_lower,accuracy_ci_upper,valid_format_rate,correct_and_valid_rate,mean_inference_seconds,median_inference_seconds,p95_inference_seconds,completion_tokens_per_second,peak_cuda_memory_gb,model_parameter_count,adapter_storage_gb,absolute_improvement_over_before,relative_improvement_over_before,gap_to_teacher_accuracy
teacher,Qwen/Qwen3-14B-AWQ,,0.9226686884003032,0.909021986353298,0.9370735405610311,0.9840788476118272,0.913570887035633,2.2723965252586518,2.034396725706756,3.7277880149427784,71.49889643603608,,,,,,
before_sft,Qwen/Qwen3-1.7B,,0.7467778620166793,0.7240333586050038,0.7710386656557998,0.0621683093252464,0.04169825625473844,14.507705614860773,13.176409400068223,26.02280106991529,11.819083125351405,3.340923309326172,1720574976,,,,
after_sft,Qwen/Qwen3-1.7B,.\outputs\qwen3_1_7b_gsm8k_qlora_v4,0.796057619408643,0.7733131159969674,0.8165276724791509,0.9893858984078847,0.7952994692949203,32.11715010447174,26.92902320018038,54.24688588001298,6.299152972431949,3.414431571960449,1738007552,0.3686594907194376,0.04927975739196366,0.06598984771573611,0.1266110689916603
